Unique ID,Name,Gender,Age,Rec ID,Source ID,Nationality,Nationality Status,Position Assigned,Salary,BU ID,Time to Hire,Onboarding Date,Termination Date,Termination Reason,Left,Experience,Job Satisfaction,Absenteesm,OvertimeHours,Bonus,Total Salary,Position Status
20190211,Candidate20190211,Male,49,Hashim,6,Japan,Developed Country,Analyst,1169379,3,13,43571,,,,25,7,0.08,319,124343.967,1293722.967,Non Leadership Position
20190215,Candidate20190215,Female,25,Nirmit,4,USA,Developed Country,Analyst,930959,1,14,43695,,,,3,3,0.11,301,93406.21967,1024365.22,Non Leadership Position
20190223,Candidate20190223,Male,23,Kashish,6,Japan,Developed Country,Analyst,1000856,4,13,43716,,,,1,7,0.09,318,106090.736,1106946.736,Non Leadership Position
20190224,Candidate20190224,Male,41,Hashim,6,China,Developing Country,MD,1832985,1,16,43531,,,,18,7,0.04,330,201628.35,2034613.35,Leadership Position
20190227,Candidate20190227,Male,25,Saksham,6,USA,Developed Country,Analyst,1083345,2,14,43605,,,,3,10,0.07,325,117362.375,1200707.375,Non Leadership Position
20190233,Candidate20190233,Female,24,Khushi,6,Japan,Developed Country,Associate,1106532,2,13,43512,43891,Pay Disparity,Left,2,3,0.08,309,113972.796,1220504.796,Non Leadership Position
20190240,Candidate20190240,Female,38,Khushi,6,Brazil,Developing Country,ED,1473442,3,14,43545,,,,13,7,0.11,314,154220.2627,1627662.263,Leadership Position
20190241,Candidate20190241,Female,29,Nirmit,6,Japan,Developed Country,Associate,1016069,3,14,43798,44170,Work Life Balance,Left,7,4,0.08,320,108380.6933,1124449.693,Non Leadership Position
20190246,Candidate20190246,Male,47,Kashish,6,USA,Developed Country,MD,1874557,3,11,43519,,,,22,10,0.08,350,218698.3167,2093255.317,Leadership Position
20190251,Candidate20190251,Male,44,Kashish,4,India,Developing Country,Analyst,1116301,1,13,43644,,,,18,7,0.05,346,128746.7153,1245047.715,Non Leadership Position
20190255,Candidate20190255,Male,49,Khushi,6,USA,Developed Country,MD,1873933,4,16,43499,,,,26,9,0.06,332,207381.9187,2081314.919,Leadership Position
20190256,Candidate20190256,Female,22,Hashim,6,Brazil,Developing Country,Associate,1033271,2,14,43616,,,,0,5,0.09,313,107804.6077,1141075.608,Non Leadership Position
20190257,Candidate20190257,Male,22,Kashish,3,USA,Developed Country,Analyst,1167745,3,13,43701,,,,0,10,0.05,354,137793.91,1305538.91,Non Leadership Position
20190259,Candidate20190259,Male,40,Saksham,6,Japan,Developed Country,Associate,1208140,4,13,43664,,,,16,10,0.08,355,142963.2333,1351103.233,Non Leadership Position
20190267,Candidate20190267,Male,23,Kashish,6,Japan,Developed Country,Analyst,1145180,1,13,43530,,,,1,8,0.05,309,117953.54,1263133.54,Non Leadership Position
20190272,Candidate20190272,Female,23,Khushi,6,China,Developing Country,Analyst,887506,3,13,43809,,,,1,4,0.11,315,93188.13,980694.13,Non Leadership Position
20190276,Candidate20190276,Male,27,Hashim,6,USA,Developed Country,Analyst,1021143,4,13,43659,,,,4,7,0.08,312,106198.872,1127341.872,Non Leadership Position
20190278,Candidate20190278,Male,34,Nirmit,6,USA,Developed Country,Analyst,1030994,1,14,43607,,,,9,9,0.09,331,113753.0047,1144747.005,Non Leadership Position
20190279,Candidate20190279,Male,41,Hashim,6,USA,Developed Country,Analyst,1033923,2,17,43762,,,,18,8,0.06,356,122692.196,1156615.196,Non Leadership Position
20190288,Candidate20190288,Female,30,Kashish,6,Japan,Developed Country,Analyst,998694,2,15,43783,44140,Work Life Balance,Left,5,3,0.11,318,105861.564,1104555.564,Non Leadership Position
20190289,Candidate20190289,Male,23,Khushi,6,Japan,Developed Country,Associate,1329023,1,15,43734,,,,1,8,0.09,352,155938.6987,1484961.699,Non Leadership Position
20190290,Candidate20190290,Male,26,Hashim,6,Japan,Developed Country,Analyst,1175284,3,14,43589,,,,4,9,0.07,316,123796.5813,1299080.581,Non Leadership Position
20190294,Candidate20190294,Male,39,Saksham,6,China,Developing Country,MD,1880208,2,13,43482,,,,16,9,0.06,360,225624.96,2105832.96,Leadership Position
20190296,Candidate20190296,Female,27,Nirmit,6,Japan,Developed Country,Analyst,957763,4,14,43744,,,,3,8,0.08,314,100245.8607,1058008.861,Non Leadership Position
20190304,Candidate20190304,Male,25,Khushi,1,Japan,Developed Country,Associate,1275563,2,15,43656,,,,3,10,0.06,334,142012.6807,1417575.681,Non Leadership Position
20190305,Candidate20190305,Female,29,Saksham,2,USA,Developed Country,Analyst,854894,3,11,43603,44011,Work Life Balance,Left,3,3,0.11,318,90618.764,945512.764,Non Leadership Position
20190310,Candidate20190310,Male,22,Kashish,6,China,Developing Country,Analyst,1192380,4,16,43806,,,,0,7,0.06,304,120827.84,1313207.84,Non Leadership Position
20190311,Candidate20190311,Male,26,Nirmit,6,USA,Developed Country,Analyst,1074946,4,14,43572,,,,4,10,0.08,330,118244.06,1193190.06,Non Leadership Position
20190314,Candidate20190314,Male,51,Nirmit,6,USA,Developed Country,Analyst,1013418,1,14,43693,,,,28,9,0.04,324,109449.144,1122867.144,Non Leadership Position
20190318,Candidate20190318,Male,53,Saksham,6,Brazil,Developing Country,Analyst,1101014,3,17,43669,,,,31,8,0.05,353,129552.6473,1230566.647,Non Leadership Position
20190319,Candidate20190319,Male,37,Nirmit,6,India,Developing Country,Analyst,1130026,2,13,43610,,,,12,7,0.05,338,127316.2627,1257342.263,Non Leadership Position
20190324,Candidate20190324,Male,49,Nirmit,6,China,Developing Country,ED,1614635,3,12,43677,,,,26,8,0.06,311,167383.8283,1782018.828,Leadership Position
20190331,Candidate20190331,Male,24,Saksham,6,Japan,Developed Country,Associate,1278608,3,15,43690,,,,2,8,0.04,336,143204.096,1421812.096,Non Leadership Position
20190336,Candidate20190336,Male,39,Hashim,6,China,Developing Country,Analyst,1016257,1,16,43738,,,,17,8,0.04,330,111788.27,1128045.27,Non Leadership Position
20190344,Candidate20190344,Male,53,Kashish,6,Japan,Developed Country,Analyst,1146490,1,16,43738,,,,30,8,0.06,346,132228.5133,1278718.513,Non Leadership Position
20190351,Candidate20190351,Male,26,Saksham,4,China,Developing Country,Analyst,1048201,2,13,43699,,,,4,8,0.09,343,119844.3143,1168045.314,Non Leadership Position
20190353,Candidate20190353,Male,47,Nirmit,6,USA,Developed Country,Analyst,1190478,2,16,43627,,,,25,7,0.04,349,138492.274,1328970.274,Non Leadership Position
20190358,Candidate20190358,Male,23,Saksham,6,Japan,Developed Country,Analyst,1100665,2,13,43618,,,,1,10,0.04,341,125108.9217,1225773.922,Non Leadership Position
20190360,Candidate20190360,Male,48,Hashim,6,Japan,Developed Country,Associate,1233170,4,14,43599,,,,25,10,0.07,355,145925.1167,1379095.117,Non Leadership Position
20190362,Candidate20190362,Male,50,Nirmit,6,China,Developing Country,MD,1999079,3,14,43772,,,,24,8,0.07,305,203239.6983,2202318.698,Leadership Position
20190369,Candidate20190369,Male,39,Nirmit,4,USA,Developed Country,Analyst,1128786,3,13,43657,,,,13,7,0.09,314,118146.268,1246932.268,Non Leadership Position
20190371,Candidate20190371,Male,31,Hashim,6,Japan,Developed Country,Associate,1361958,1,16,43795,,,,7,8,0.09,336,152539.296,1514497.296,Non Leadership Position
20190373,Candidate20190373,Male,34,Saksham,6,Japan,Developed Country,Analyst,1055030,3,15,43503,,,,10,10,0.07,319,112184.8567,1167214.857,Non Leadership Position
20190381,Candidate20190381,Female,28,Nirmit,2,Brazil,Developing Country,Analyst,815695,4,12,43672,,,,5,6,0.08,318,86463.67,902158.67,Non Leadership Position
20190382,Candidate20190382,Male,42,Kashish,6,Brazil,Developing Country,MD,1851485,1,12,43566,,,,17,10,0.06,302,186382.8233,2037867.823,Leadership Position
20190391,Candidate20190391,Female,24,Hashim,6,Brazil,Developing Country,Analyst,809111,1,14,43771,,,,2,6,0.08,310,83608.13667,892719.1367,Non Leadership Position
20190395,Candidate20190395,Female,23,Khushi,6,China,Developing Country,Analyst,948432,3,15,43725,,,,1,8,0.11,314,99269.216,1047701.216,Non Leadership Position
20190396,Candidate20190396,Male,29,Saksham,6,Japan,Developed Country,Analyst,1037255,4,14,43756,,,,3,8,0.08,333,115135.305,1152390.305,Non Leadership Position
20190403,Candidate20190403,Male,42,Khushi,6,Japan,Developed Country,Associate,1329074,2,17,43703,,,,17,9,0.04,312,138223.696,1467297.696,Non Leadership Position
20190407,Candidate20190407,Male,43,Saksham,2,USA,Developed Country,Analyst,1059661,4,14,43760,,,,19,9,0.06,312,110204.744,1169865.744,Non Leadership Position
20190408,Candidate20190408,Male,34,Nirmit,6,China,Developing Country,Analyst,1157122,4,14,43805,,,,12,9,0.05,312,120340.688,1277462.688,Non Leadership Position
20190410,Candidate20190410,Male,53,Khushi,4,USA,Developed Country,Analyst,1141570,1,15,43701,,,,31,7,0.09,345,131280.55,1272850.55,Non Leadership Position
20190413,Candidate20190413,Male,25,Saksham,6,China,Developing Country,Analyst,1067902,1,12,43748,,,,3,8,0.05,315,112129.71,1180031.71,Non Leadership Position
20190416,Candidate20190416,Female,28,Nirmit,6,USA,Developed Country,Analyst,860670,2,12,43562,,,,5,7,0.08,303,86927.67,947597.67,Non Leadership Position
20190421,Candidate20190421,Male,53,Hashim,6,USA,Developed Country,Analyst,1199647,3,14,43627,,,,31,7,0.07,342,136759.758,1336406.758,Non Leadership Position
20190423,Candidate20190423,Male,52,Hashim,6,China,Developing Country,Analyst,1071531,2,14,43601,,,,26,9,0.04,323,115368.171,1186899.171,Non Leadership Position
20190424,Candidate20190424,Female,27,Khushi,6,USA,Developed Country,Analyst,988746,4,13,43806,,,,1,6,0.07,305,100522.51,1089268.51,Non Leadership Position
20190429,Candidate20190429,Male,33,Hashim,6,USA,Developed Country,Analyst,1116814,1,15,43499,,,,10,10,0.04,320,119126.8267,1235940.827,Non Leadership Position
20190440,Candidate20190440,Male,35,Kashish,6,USA,Developed Country,VP,2990746,5,13,43627,,,,10,8,0.07,344,342938.8747,3333684.875,Leadership Position
20190447,Candidate20190447,Male,46,Khushi,6,India,Developing Country,Analyst,1063321,3,13,43643,,,,20,10,0.07,349,123699.6763,1187020.676,Non Leadership Position
20190455,Candidate20190455,Male,43,Khushi,6,Japan,Developed Country,Analyst,1107985,1,16,43610,,,,21,8,0.04,308,113753.1267,1221738.127,Non Leadership Position
20190458,Candidate20190458,Male,29,Hashim,6,USA,Developed Country,Analyst,1181938,2,17,43636,,,,4,8,0.04,304,119769.7173,1301707.717,Non Leadership Position
20190464,Candidate20190464,Male,22,Nirmit,6,Brazil,Developing Country,Analyst,1045936,2,13,43649,,,,0,8,0.07,354,123420.448,1169356.448,Non Leadership Position
20190466,Candidate20190466,Female,29,Hashim,6,USA,Developed Country,Analyst,919568,3,13,43577,44031,Work Life Balance,Left,7,2,0.1,320,98087.25333,1017655.253,Non Leadership Position
20190468,Candidate20190468,Male,40,Kashish,6,Japan,Developed Country,Associate,1290896,3,13,43721,,,,18,10,0.07,356,153186.3253,1444082.325,Non Leadership Position
20190470,Candidate20190470,Male,34,Hashim,4,Japan,Developed Country,Analyst,1161915,2,12,43691,,,,8,8,0.09,353,136718.665,1298633.665,Non Leadership Position
20190474,Candidate20190474,Male,36,Khushi,6,USA,Developed Country,Analyst,1035540,4,14,43720,,,,12,8,0.05,330,113909.4,1149449.4,Non Leadership Position
20190475,Candidate20190475,Male,24,Nirmit,6,China,Developing Country,Analyst,1097903,3,13,43769,,,,2,7,0.04,358,131016.4247,1228919.425,Non Leadership Position
20190478,Candidate20190478,Female,41,Hashim,4,China,Developing Country,ED,1498830,4,13,43511,,,,15,5,0.08,308,153879.88,1652709.88,Leadership Position
20190481,Candidate20190481,Male,24,Hashim,6,USA,Developed Country,Analyst,1037920,1,13,43536,,,,2,8,0.09,313,108289.6533,1146209.653,Non Leadership Position
20190484,Candidate20190484,Female,26,Hashim,1,Japan,Developed Country,Analyst,919037,3,13,43642,,,,4,7,0.09,307,94048.11967,1013085.12,Non Leadership Position
20190485,Candidate20190485,Male,28,Kashish,6,USA,Developed Country,Analyst,1112900,2,11,43545,,,,5,7,0.08,320,118709.3333,1231609.333,Non Leadership Position
20190495,Candidate20190495,Male,43,Hashim,6,China,Developing Country,Analyst,1020663,4,13,43657,,,,17,8,0.07,347,118056.687,1138719.687,Non Leadership Position
20190496,Candidate20190496,Male,51,Nirmit,5,USA,Developed Country,Associate,1289553,1,11,43795,,,,25,9,0.04,356,153026.956,1442579.956,Non Leadership Position
20190497,Candidate20190497,Female,44,Nirmit,6,Japan,Developed Country,Associate,1019097,4,14,43549,,,,20,7,0.11,317,107684.583,1126781.583,Non Leadership Position
20190503,Candidate20190503,Male,36,Kashish,6,India,Developing Country,Analyst,1158058,4,16,43673,,,,14,7,0.05,331,127772.3993,1285830.399,Non Leadership Position
20190504,Candidate20190504,Male,25,Hashim,3,Japan,Developed Country,Analyst,1146746,4,15,43784,,,,3,10,0.09,320,122319.5733,1269065.573,Non Leadership Position
20190505,Candidate20190505,Male,26,Nirmit,5,Japan,Developed Country,Analyst,1110154,1,13,43750,,,,4,8,0.08,345,127667.71,1237821.71,Non Leadership Position
20190508,Candidate20190508,Male,29,Hashim,6,Japan,Developed Country,Associate,1380305,1,12,43487,,,,3,10,0.08,317,145852.2283,1526157.228,Non Leadership Position
20190516,Candidate20190516,Male,45,Saksham,6,Japan,Developed Country,Analyst,1123755,2,11,43607,,,,22,9,0.09,350,131104.75,1254859.75,Non Leadership Position
20190519,Candidate20190519,Male,35,Hashim,6,India,Developing Country,Analyst,1039859,1,14,43731,,,,13,10,0.07,357,123743.221,1163602.221,Non Leadership Position
20190520,Candidate20190520,Male,54,Nirmit,6,USA,Developed Country,Associate,1265598,2,15,43675,,,,29,9,0.04,311,131200.326,1396798.326,Non Leadership Position
20190528,Candidate20190528,Male,51,Nirmit,6,Japan,Developed Country,Associate,1259913,2,12,43535,,,,28,7,0.05,311,130610.981,1390523.981,Non Leadership Position
20190530,Candidate20190530,Male,50,Saksham,6,Japan,Developed Country,Analyst,1179554,3,11,43789,,,,26,8,0.09,330,129750.94,1309304.94,Non Leadership Position
20190531,Candidate20190531,Female,23,Saksham,6,USA,Developed Country,Associate,1126009,3,15,43524,,,,1,7,0.07,302,113351.5727,1239360.573,Non Leadership Position
20190533,Candidate20190533,Female,25,Saksham,2,USA,Developed Country,Associate,1087140,4,16,43711,,,,3,3,0.1,309,111975.42,1199115.42,Non Leadership Position
20190535,Candidate20190535,Male,34,Nirmit,6,Japan,Developed Country,Analyst,1055023,4,15,43641,,,,12,7,0.04,337,118514.2503,1173537.25,Non Leadership Position
20190536,Candidate20190536,Male,29,Saksham,6,Brazil,Developing Country,VP,2830930,5,14,43602,,,,3,8,0.09,345,325556.95,3156486.95,Leadership Position
20190537,Candidate20190537,Male,49,Kashish,6,USA,Developed Country,Associate,1285905,1,13,43738,,,,23,8,0.08,322,138020.47,1423925.47,Non Leadership Position
20190539,Candidate20190539,Male,34,Saksham,6,USA,Developed Country,Associate,1335970,2,17,43517,,,,11,8,0.07,316,140722.1733,1476692.173,Non Leadership Position
20190540,Candidate20190540,Female,28,Kashish,6,Brazil,Developing Country,Associate,1146689,3,11,43691,,,,3,4,0.09,306,116962.278,1263651.278,Non Leadership Position
20190543,Candidate20190543,Male,52,Khushi,6,USA,Developed Country,Associate,1281601,3,13,43778,,,,30,8,0.07,337,143966.5123,1425567.512,Non Leadership Position
20190547,Candidate20190547,Male,33,Hashim,6,USA,Developed Country,Associate,1367477,4,13,43664,,,,8,9,0.04,353,160906.4603,1528383.46,Non Leadership Position
20190559,Candidate20190559,Male,25,Saksham,6,Japan,Developed Country,Associate,1215585,3,16,43713,,,,3,7,0.04,335,135740.325,1351325.325,Non Leadership Position
20190563,Candidate20190563,Female,49,Nirmit,6,USA,Developed Country,Associate,1088976,1,14,43660,,,,25,6,0.07,306,111075.552,1200051.552,Non Leadership Position
20190564,Candidate20190564,Female,26,Kashish,5,China,Developing Country,Analyst,834895,1,12,43619,,,,4,5,0.11,317,88220.57167,923115.5717,Non Leadership Position
20190565,Candidate20190565,Male,44,Hashim,3,India,Developing Country,MD,1994267,3,13,43582,,,,20,7,0.07,312,207403.768,2201670.768,Leadership Position
20190566,Candidate20190566,Male,44,Kashish,2,China,Developing Country,VP,2822901,5,14,43741,,,,21,8,0.09,333,313342.011,3136243.011,Leadership Position
20190583,Candidate20190583,Male,25,Kashish,6,Brazil,Developing Country,Analyst,1036035,3,16,43703,,,,3,7,0.06,359,123978.855,1160013.855,Non Leadership Position
20190588,Candidate20190588,Female,26,Kashish,5,Japan,Developed Country,Analyst,856717,1,15,43578,,,,4,4,0.1,318,90812.002,947529.002,Non Leadership Position
20190589,Candidate20190589,Female,29,Saksham,5,USA,Developed Country,Associate,1170399,2,15,43615,,,,6,3,0.11,310,120941.23,1291340.23,Non Leadership Position
20190594,Candidate20190594,Male,32,Nirmit,1,Japan,Developed Country,Analyst,1178083,2,15,43584,,,,8,8,0.05,346,135872.2393,1313955.239,Non Leadership Position
20190600,Candidate20190600,Female,45,Khushi,6,USA,Developed Country,Associate,1082449,3,12,43556,,,,19,6,0.11,319,115100.4103,1197549.41,Non Leadership Position
20190602,Candidate20190602,Male,32,Nirmit,6,Japan,Developed Country,Analyst,1174909,3,16,43529,,,,8,7,0.04,322,126106.8993,1301015.899,Non Leadership Position
20190604,Candidate20190604,Male,51,Hashim,6,Japan,Developed Country,Analyst,1192255,4,13,43614,,,,27,7,0.07,340,135122.2333,1327377.233,Non Leadership Position
20190609,Candidate20190609,Male,48,Kashish,6,USA,Developed Country,Associate,1379008,4,14,43588,,,,24,8,0.05,316,145255.5093,1524263.509,Non Leadership Position
20190622,Candidate20190622,Male,52,Nirmit,6,USA,Developed Country,Associate,1381651,1,14,43628,,,,29,7,0.09,326,150139.4087,1531790.409,Non Leadership Position
20190624,Candidate20190624,Male,32,Hashim,6,Japan,Developed Country,Analyst,1073794,1,17,43649,,,,6,9,0.07,320,114538.0267,1188332.027,Non Leadership Position
20190633,Candidate20190633,Female,29,Nirmit,6,Japan,Developed Country,Analyst,834869,2,16,43558,,,,7,4,0.07,308,85713.21733,920582.2173,Non Leadership Position
20190637,Candidate20190637,Male,36,Saksham,6,Brazil,Developing Country,ED,1684405,4,15,43523,,,,11,7,0.09,345,193706.575,1878111.575,Leadership Position
